codigo;municipio;estado;pais
178;NOVA OLINDA DO NORTE;AMAZONAS;BRASIL
173;MANAUS;AMAZONAS;BRASIL
202;FERREIRA GOMES;AMAPA;BRASIL
202;FERREIRA GOMES;AMAPA;BRASIL
179;NOVO AIRAO;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
175;MARAÃ;AMAZONAS;BRASIL
282;CAIRU;BAHIA;BRASIL
236;APORA;BAHIA;BRASIL
236;APORA;BAHIA;BRASIL
253;BARREIRAS;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
193;TAPAUÁ;AMAZONAS;BRASIL
193;TAPAUÁ;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
146;BOA VISTA DO RAMOS;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
180;NOVO ARIPUANA;AMAZONAS;BRASIL
282;CAIRU;BAHIA;BRASIL
282;CAIRU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
264;BONINAL;BAHIA;BRASIL
178;NOVA OLINDA DO NORTE;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
295;CANDIBA;BAHIA;BRASIL
146;BOA VISTA DO RAMOS;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
222;ALAGOINHAS;BAHIA;BRASIL
122;SÃO MIGUEL DOS MILAGRES;ALAGOAS;BRASIL
222;ALAGOINHAS;BAHIA;BRASIL
253;BARREIRAS;BAHIA;BRASIL
253;BARREIRAS;BAHIA;BRASIL
253;BARREIRAS;BAHIA;BRASIL
253;BARREIRAS;BAHIA;BRASIL
227;AMERICA DOURADA;BAHIA;BRASIL
227;AMERICA DOURADA;BAHIA;BRASIL
257;BELMONTE;BAHIA;BRASIL
257;BELMONTE;BAHIA;BRASIL
257;BELMONTE;BAHIA;BRASIL
264;BONINAL;BAHIA;BRASIL
178;NOVA OLINDA DO NORTE;AMAZONAS;BRASIL
178;NOVA OLINDA DO NORTE;AMAZONAS;BRASIL
49;CORURIPE;ALAGOAS;BRASIL
